name,brand,price,notes,scent_profile,longevity,sillage,gender_preference,occasion
Cartier Amber 46,Hugo Boss,144.08,"gourmand, fresh, aquatic",basic,6 hours,moderate,female,evening
Dolce & Gabbana Fresh 4,Yves Saint Laurent,147.4,"fresh, leather",high-end,12+ hours,strong,female,formal
Yves Saint Laurent Leather 40,Jo Malone,61.05,"amber, spicy, aquatic",niche,10 hours,strong,male,special
Gucci Oriental 6,Versace,67.77,aquatic,basic,4 hours,moderate,unisex,casual
Tom Ford Amber 8,Bvlgari,76.66,amber,high-end,10 hours,light,female,daytime
Givenchy Fresh 18,Montblanc,83.2,"amber, spicy",high-end,6 hours,light,female,special
Montblanc Fresh 13,Bvlgari,279.23,"fresh, woody, amber",luxury,8 hours,strong,unisex,formal
Hermes Oriental 33,Hermes,125.29,amber,high-end,4 hours,strong,unisex,evening
Versace Spicy 2,Tom Ford,84.29,"fresh, floral, citrus",niche,6 hours,light,female,evening
Dior Gourmand 47,Gucci,104.7,"woody, spicy",basic,10 hours,strong,unisex,casual
Gucci Aquatic 22,Montblanc,163.48,gourmand,luxury,12+ hours,moderate,female,daytime
Chanel Citrus 17,Lancôme,121.42,amber,high-end,4 hours,light,male,special
Hermes Fresh 37,Dolce & Gabbana,159.92,"fruity, gourmand",basic,12+ hours,strong,male,daytime
Montblanc Amber 46,Calvin Klein,169.81,"floral, amber",basic,8 hours,strong,unisex,daytime
Hugo Boss Amber 37,Jo Malone,196.56,"fresh, oriental, floral",luxury,4 hours,moderate,male,daytime
Bvlgari Fresh 26,Calvin Klein,267.37,"spicy, aquatic, citrus",basic,8 hours,moderate,unisex,casual
Yves Saint Laurent Oriental 31,Dior,86.36,citrus,high-end,12+ hours,strong,female,special
Yves Saint Laurent Oriental 8,Gucci,223.74,"amber, oriental",basic,8 hours,strong,female,special
Jo Malone Floral 21,Calvin Klein,153.04,fruity,high-end,6 hours,light,male,evening
Dior Amber 21,Chanel,148.69,"oriental, floral, fruity",basic,8 hours,strong,male,formal
Jo Malone Fresh 15,Armani,150.31,"woody, amber, oriental",luxury,6 hours,light,unisex,special
Yves Saint Laurent Amber 28,Bvlgari,212.38,"gourmand, woody, amber",basic,12+ hours,moderate,male,special
Prada Fruity 17,Dolce & Gabbana,240.77,"gourmand, citrus, fresh",luxury,6 hours,light,unisex,formal
Gucci Oriental 48,Dolce & Gabbana,150.15,"fresh, gourmand",high-end,10 hours,moderate,female,casual
Yves Saint Laurent Woody 37,Gucci,222.07,"aquatic, gourmand",basic,6 hours,light,female,formal
Yves Saint Laurent Gourmand 25,Versace,156.62,fresh,niche,12+ hours,light,unisex,casual
Creed Woody 33,Jo Malone,220.35,"fresh, fruity",luxury,4 hours,light,male,evening
Hugo Boss Woody 39,Chanel,283.38,"aquatic, leather, spicy",niche,6 hours,light,female,evening
Chanel Leather 38,Calvin Klein,238.57,"woody, leather, spicy",luxury,4 hours,moderate,male,formal
Armani Fruity 8,Tom Ford,51.57,"spicy, woody",basic,8 hours,strong,female,formal
Cartier Leather 46,Givenchy,183.21,"citrus, fruity, leather",basic,10 hours,moderate,female,special
Cartier Fruity 1,Yves Saint Laurent,124.83,"oriental, spicy",basic,12+ hours,moderate,unisex,special
Lancôme Leather 44,Jo Malone,168.15,"woody, citrus, fresh",basic,4 hours,moderate,unisex,casual
Prada Fruity 28,Cartier,167.56,fresh,basic,8 hours,moderate,female,special
Dolce & Gabbana Citrus 18,Montblanc,276.03,"oriental, woody, spicy",luxury,10 hours,light,unisex,evening
Givenchy Woody 4,Givenchy,268.83,"amber, floral, gourmand",niche,6 hours,strong,female,special
Cartier Fresh 22,Chanel,102.81,"gourmand, amber",high-end,12+ hours,moderate,female,daytime
Burberry Citrus 9,Dior,185.55,"aquatic, spicy",niche,10 hours,strong,male,casual
Cartier Woody 8,Bvlgari,281.72,"woody, aquatic",basic,10 hours,moderate,female,casual
Yves Saint Laurent Woody 4,Gucci,100.38,gourmand,niche,4 hours,strong,male,special
Lancôme Oriental 25,Bvlgari,233.75,"amber, oriental, spicy",luxury,12+ hours,light,unisex,casual
Versace Oriental 38,Yves Saint Laurent,228.31,"spicy, leather",high-end,4 hours,light,female,daytime
Dolce & Gabbana Woody 29,Prada,243.15,amber,luxury,10 hours,light,female,formal
Burberry Spicy 21,Hugo Boss,129.37,"fresh, woody",luxury,10 hours,light,male,formal
Burberry Woody 40,Givenchy,63.01,"floral, aquatic, gourmand",luxury,4 hours,light,male,daytime
Calvin Klein Floral 42,Armani,204.88,"amber, citrus, floral",niche,8 hours,strong,female,formal
Bvlgari Amber 39,Givenchy,179.15,"aquatic, floral, woody",high-end,8 hours,moderate,unisex,special
Versace Aquatic 49,Burberry,234.33,"amber, gourmand",niche,12+ hours,light,unisex,evening
Dior Fresh 23,Creed,221.62,"amber, fruity, floral",niche,6 hours,light,female,special
Versace Fresh 38,Hugo Boss,273.35,"spicy, citrus",niche,10 hours,moderate,female,casual
Hermes Fruity 34,Hermes,152.05,spicy,high-end,6 hours,moderate,male,formal
Tom Ford Leather 19,Hermes,291.96,"oriental, fresh, leather",basic,12+ hours,strong,female,special
Versace Fruity 29,Prada,131.91,"aquatic, fruity, floral",basic,12+ hours,strong,unisex,formal
Lancôme Gourmand 32,Yves Saint Laurent,143.99,"citrus, amber",luxury,8 hours,strong,unisex,casual
Chanel Spicy 47,Hermes,292.8,"fresh, floral, woody",luxury,10 hours,moderate,male,special
Lancôme Amber 44,Lancôme,152.5,"oriental, citrus, spicy",niche,8 hours,strong,female,casual
Burberry Fresh 49,Calvin Klein,283.05,"fruity, gourmand",luxury,10 hours,strong,unisex,casual
Cartier Citrus 9,Armani,147.51,fruity,high-end,12+ hours,light,male,evening
Calvin Klein Citrus 27,Cartier,293.01,"floral, woody",luxury,6 hours,light,unisex,special
Burberry Fruity 12,Jo Malone,199.33,"amber, spicy, fresh",luxury,4 hours,light,female,daytime
Montblanc Spicy 4,Hugo Boss,71.92,"woody, gourmand",basic,4 hours,moderate,male,special
Hugo Boss Fruity 45,Givenchy,271.46,"aquatic, fresh",luxury,8 hours,strong,unisex,formal
Dolce & Gabbana Amber 25,Tom Ford,114.85,"oriental, leather",basic,8 hours,strong,unisex,formal
Lancôme Fruity 40,Prada,263.66,"floral, aquatic",basic,10 hours,strong,unisex,special
Lancôme Amber 4,Lancôme,69.61,"fresh, oriental, spicy",luxury,4 hours,moderate,unisex,casual
Armani Spicy 42,Burberry,280.43,"amber, oriental",luxury,8 hours,strong,male,formal
Creed Woody 15,Chanel,279.94,leather,basic,6 hours,strong,male,formal
Bvlgari Amber 23,Gucci,249.58,"gourmand, woody",basic,8 hours,strong,unisex,special
Chanel Spicy 1,Tom Ford,196.27,fruity,high-end,10 hours,light,female,casual
Tom Ford Woody 48,Prada,134.64,"aquatic, fruity, citrus",niche,4 hours,strong,female,special
Jo Malone Gourmand 11,Bvlgari,149.05,gourmand,luxury,12+ hours,moderate,male,evening
Yves Saint Laurent Citrus 25,Lancôme,60.17,"citrus, fruity, aquatic",luxury,12+ hours,light,female,evening
Chanel Aquatic 12,Gucci,148.74,"spicy, oriental",niche,4 hours,light,male,casual
Prada Woody 22,Montblanc,195.71,"floral, spicy, woody",basic,8 hours,strong,female,special
Hermes Oriental 26,Tom Ford,223.24,spicy,basic,12+ hours,moderate,unisex,special
Creed Fruity 3,Chanel,259.55,"spicy, floral",luxury,4 hours,moderate,unisex,daytime
Hermes Oriental 18,Burberry,229.85,spicy,luxury,10 hours,moderate,male,special
Givenchy Floral 43,Calvin Klein,101.87,"floral, fruity",high-end,4 hours,strong,female,formal
Dior Spicy 25,Armani,238.43,"spicy, leather",high-end,4 hours,light,female,special
Calvin Klein Fresh 15,Hugo Boss,190.15,"oriental, floral",niche,8 hours,moderate,unisex,special
Montblanc Floral 29,Montblanc,95.84,"amber, fresh, spicy",high-end,10 hours,moderate,unisex,formal
Cartier Citrus 42,Hermes,125.08,"fruity, leather, spicy",niche,8 hours,moderate,female,evening
Armani Citrus 37,Montblanc,268.93,"fruity, floral",niche,4 hours,moderate,female,evening
Hermes Spicy 27,Prada,165.8,"leather, floral",basic,12+ hours,light,female,formal
Versace Fresh 19,Montblanc,198.33,spicy,luxury,12+ hours,strong,male,formal
Versace Fruity 20,Armani,130.9,"aquatic, spicy",basic,8 hours,light,unisex,evening
Prada Fresh 45,Gucci,105.08,"leather, fruity, aquatic",luxury,4 hours,moderate,female,evening
Versace Oriental 19,Lancôme,109.71,"aquatic, woody, citrus",luxury,12+ hours,moderate,male,formal
Gucci Spicy 7,Jo Malone,119.24,"woody, fresh, leather",luxury,12+ hours,moderate,male,daytime
Cartier Fresh 48,Armani,187.7,"fresh, oriental",high-end,6 hours,strong,unisex,special
Chanel Amber 20,Calvin Klein,236.62,"leather, woody, fruity",luxury,8 hours,light,unisex,evening
Tom Ford Spicy 31,Montblanc,236.51,leather,luxury,10 hours,strong,female,casual
Prada Fruity 42,Cartier,125.39,"aquatic, amber, leather",luxury,10 hours,moderate,male,evening
Calvin Klein Amber 24,Prada,269.3,spicy,high-end,8 hours,strong,unisex,formal
Yves Saint Laurent Citrus 3,Creed,153.27,amber,basic,10 hours,strong,unisex,evening
Chanel Citrus 6,Yves Saint Laurent,54.73,"aquatic, leather",basic,8 hours,strong,male,evening
Armani Oriental 31,Hermes,112.46,"amber, spicy, floral",basic,10 hours,moderate,unisex,casual
Montblanc Amber 19,Montblanc,141.01,"floral, aquatic, oriental",basic,6 hours,light,male,casual
Jo Malone Leather 44,Chanel,232.1,"leather, floral",niche,8 hours,light,female,special
Gucci Amber 1,Prada,190.39,"gourmand, aquatic",niche,12+ hours,moderate,female,formal
Armani Oriental 4,Dior,86.47,fresh,niche,12+ hours,light,female,special
Lancôme Amber 17,Calvin Klein,132.27,gourmand,luxury,12+ hours,moderate,unisex,casual
Givenchy Floral 11,Jo Malone,266.74,aquatic,high-end,10 hours,strong,male,formal
Givenchy Oriental 14,Dior,151.19,"oriental, gourmand, citrus",niche,4 hours,strong,male,casual
Calvin Klein Amber 3,Montblanc,223.1,"leather, woody, citrus",luxury,6 hours,moderate,unisex,casual
Burberry Oriental 26,Calvin Klein,67.25,"citrus, fresh, leather",basic,4 hours,moderate,female,daytime
Versace Citrus 36,Chanel,182.4,woody,niche,6 hours,light,female,casual
Creed Fruity 14,Burberry,222.19,"woody, amber",basic,8 hours,strong,unisex,daytime
Bvlgari Aquatic 48,Dolce & Gabbana,50.33,"citrus, aquatic",basic,10 hours,light,unisex,daytime
Givenchy Fresh 26,Dolce & Gabbana,253.33,gourmand,basic,10 hours,light,female,evening
Gucci Leather 48,Hermes,222.43,"oriental, citrus",niche,12+ hours,moderate,male,evening
Hermes Fruity 9,Creed,192.07,fruity,niche,12+ hours,moderate,male,casual
Versace Gourmand 33,Versace,235.3,"spicy, aquatic",luxury,12+ hours,strong,unisex,evening
Lancôme Oriental 13,Hugo Boss,73.27,citrus,basic,10 hours,moderate,male,casual
Hugo Boss Woody 45,Tom Ford,140.91,"citrus, oriental",basic,12+ hours,strong,female,evening
Hugo Boss Fresh 15,Calvin Klein,133.82,"citrus, floral",niche,12+ hours,moderate,male,casual
Hermes Amber 3,Dolce & Gabbana,69.74,"amber, fruity",niche,8 hours,strong,unisex,special
Lancôme Oriental 28,Chanel,113.07,spicy,luxury,8 hours,light,unisex,casual
Montblanc Woody 24,Montblanc,210.25,leather,luxury,6 hours,light,female,evening
Dolce & Gabbana Woody 35,Calvin Klein,73.84,leather,niche,12+ hours,moderate,male,casual
Hermes Oriental 4,Cartier,122.24,amber,niche,12+ hours,light,female,daytime
Cartier Leather 47,Chanel,209.85,"gourmand, aquatic, fresh",niche,8 hours,strong,unisex,daytime
Dolce & Gabbana Oriental 4,Dolce & Gabbana,131.81,"floral, amber",basic,8 hours,strong,unisex,casual
Creed Gourmand 26,Dolce & Gabbana,234.9,"amber, gourmand, fresh",luxury,12+ hours,strong,unisex,casual
Calvin Klein Leather 14,Hermes,69.64,fresh,luxury,4 hours,light,male,casual
Armani Citrus 36,Hermes,134.51,"oriental, spicy",high-end,4 hours,light,male,daytime
Versace Fresh 40,Versace,116.66,"oriental, floral",basic,10 hours,strong,male,daytime
Hugo Boss Gourmand 8,Burberry,75.42,leather,niche,4 hours,light,female,evening
Dior Oriental 33,Calvin Klein,286.22,"fresh, fruity",high-end,6 hours,moderate,male,daytime
Yves Saint Laurent Aquatic 5,Calvin Klein,110.45,"spicy, aquatic",high-end,10 hours,light,female,daytime
Jo Malone Fruity 46,Gucci,85.51,aquatic,basic,6 hours,strong,female,casual
Hugo Boss Gourmand 25,Armani,53.87,"floral, aquatic, spicy",basic,12+ hours,light,unisex,daytime
Versace Spicy 17,Montblanc,252.26,"citrus, gourmand",high-end,8 hours,light,male,formal
Lancôme Woody 37,Hermes,284.85,"spicy, floral, gourmand",niche,12+ hours,light,female,casual
Jo Malone Floral 31,Lancôme,162.9,"oriental, spicy, gourmand",luxury,10 hours,light,unisex,evening
Tom Ford Fresh 39,Dolce & Gabbana,83.26,"gourmand, floral",luxury,10 hours,strong,unisex,casual
Calvin Klein Amber 2,Lancôme,147.36,"citrus, spicy",high-end,6 hours,light,unisex,special
Montblanc Oriental 33,Calvin Klein,146.7,fresh,luxury,6 hours,light,unisex,daytime
Hermes Spicy 25,Cartier,71.41,"woody, floral, fresh",luxury,10 hours,light,female,formal
Hermes Floral 29,Armani,133.4,spicy,luxury,12+ hours,moderate,unisex,evening
Givenchy Amber 26,Prada,237.47,"fruity, citrus",basic,12+ hours,strong,female,casual
Yves Saint Laurent Oriental 10,Cartier,57.23,oriental,basic,8 hours,light,male,special
Bvlgari Citrus 3,Montblanc,277.52,aquatic,basic,6 hours,strong,male,special
Jo Malone Leather 10,Yves Saint Laurent,92.4,"gourmand, amber, fresh",luxury,12+ hours,light,male,evening
Dior Woody 33,Versace,135.13,"floral, fresh",high-end,4 hours,light,unisex,daytime
Tom Ford Fresh 15,Dior,94.4,"amber, fresh",niche,12+ hours,moderate,unisex,special
Armani Floral 48,Tom Ford,223.17,"oriental, gourmand",high-end,6 hours,moderate,female,special
Givenchy Floral 32,Lancôme,96.6,"amber, fruity, aquatic",niche,12+ hours,strong,unisex,formal
Burberry Aquatic 45,Yves Saint Laurent,275.82,"citrus, oriental, fresh",niche,4 hours,moderate,male,daytime
Calvin Klein Aquatic 41,Gucci,261.67,"oriental, leather, floral",luxury,10 hours,strong,unisex,formal
Creed Aquatic 27,Chanel,60.43,"leather, woody",luxury,4 hours,strong,unisex,special
Hermes Fruity 30,Prada,182.0,"leather, fresh, spicy",luxury,10 hours,light,female,formal
Lancôme Gourmand 4,Versace,238.41,leather,basic,12+ hours,strong,male,casual
Gucci Spicy 40,Cartier,290.25,"fresh, amber, floral",high-end,10 hours,strong,unisex,formal
Versace Floral 26,Creed,256.85,fresh,luxury,12+ hours,light,male,evening
Hugo Boss Citrus 10,Dolce & Gabbana,219.34,"spicy, oriental",high-end,10 hours,light,male,evening
Versace Spicy 48,Dior,66.61,"floral, gourmand",niche,12+ hours,moderate,female,special
Creed Spicy 22,Jo Malone,137.88,"woody, oriental, citrus",niche,6 hours,strong,female,special
Jo Malone Citrus 15,Prada,243.8,"leather, oriental",luxury,4 hours,light,male,evening
Chanel Fruity 48,Calvin Klein,245.77,leather,high-end,12+ hours,light,male,formal
Chanel Floral 50,Hugo Boss,64.42,"woody, aquatic",luxury,6 hours,light,unisex,special
Gucci Oriental 8,Cartier,276.02,fresh,basic,6 hours,moderate,unisex,daytime
Dior Fresh 32,Dolce & Gabbana,191.81,"floral, spicy",basic,12+ hours,light,female,casual
Burberry Oriental 7,Creed,99.1,gourmand,luxury,10 hours,light,unisex,casual
Prada Citrus 49,Givenchy,235.21,"floral, amber, spicy",luxury,8 hours,moderate,female,daytime
Givenchy Spicy 45,Creed,216.17,"fresh, leather",luxury,8 hours,light,male,evening
Armani Gourmand 10,Dolce & Gabbana,116.03,"citrus, fresh",niche,6 hours,strong,male,special
Prada Oriental 14,Calvin Klein,53.66,"woody, aquatic, floral",high-end,6 hours,strong,female,formal
Jo Malone Citrus 19,Gucci,63.32,"leather, fruity, spicy",high-end,12+ hours,strong,unisex,daytime
Prada Fruity 12,Hermes,288.09,woody,niche,6 hours,light,unisex,evening
Cartier Woody 32,Montblanc,147.48,aquatic,luxury,4 hours,moderate,unisex,casual
Hugo Boss Citrus 7,Dior,253.73,gourmand,basic,12+ hours,light,female,formal
Tom Ford Aquatic 13,Dior,57.27,"aquatic, amber, woody",high-end,8 hours,strong,female,casual
Givenchy Leather 49,Prada,267.91,"aquatic, gourmand, fresh",niche,10 hours,light,unisex,formal
Lancôme Floral 1,Calvin Klein,171.15,"spicy, citrus, fruity",luxury,10 hours,moderate,unisex,formal
Givenchy Gourmand 18,Givenchy,106.14,"gourmand, spicy, woody",niche,10 hours,moderate,male,casual
Dior Fresh 48,Versace,136.9,"oriental, fresh, amber",niche,12+ hours,strong,unisex,formal
Versace Gourmand 46,Creed,200.14,"floral, amber, leather",high-end,8 hours,moderate,unisex,evening
Jo Malone Amber 34,Jo Malone,296.17,"aquatic, fruity",basic,8 hours,strong,male,special
Montblanc Aquatic 8,Bvlgari,204.26,"oriental, leather",basic,12+ hours,strong,unisex,special
Hermes Gourmand 10,Bvlgari,129.72,"citrus, aquatic",niche,6 hours,strong,female,formal
Hermes Fresh 5,Versace,278.53,"floral, fruity, woody",high-end,6 hours,strong,unisex,evening
Yves Saint Laurent Spicy 3,Montblanc,137.74,"gourmand, amber, aquatic",high-end,10 hours,moderate,male,formal
Versace Woody 19,Givenchy,195.89,"spicy, woody",basic,6 hours,strong,female,casual
Armani Woody 1,Dior,195.97,"floral, amber",basic,4 hours,moderate,male,casual
Tom Ford Aquatic 12,Yves Saint Laurent,104.33,aquatic,basic,6 hours,moderate,male,daytime
Givenchy Amber 23,Versace,138.09,floral,basic,8 hours,strong,male,special
Dolce & Gabbana Floral 7,Chanel,81.48,fruity,high-end,10 hours,light,unisex,evening
Yves Saint Laurent Oriental 29,Tom Ford,63.23,"fruity, oriental",high-end,8 hours,moderate,unisex,evening
Creed Spicy 18,Calvin Klein,105.75,leather,luxury,12+ hours,strong,unisex,casual
Yves Saint Laurent Citrus 4,Tom Ford,187.18,gourmand,niche,8 hours,light,unisex,formal
Calvin Klein Citrus 38,Jo Malone,145.63,fruity,luxury,12+ hours,moderate,female,formal
Burberry Amber 45,Cartier,169.52,oriental,basic,6 hours,strong,female,casual
Lancôme Fresh 18,Givenchy,125.18,floral,niche,8 hours,moderate,female,daytime
Hugo Boss Amber 3,Givenchy,107.53,woody,niche,8 hours,moderate,female,daytime
Chanel Fresh 45,Burberry,102.71,"aquatic, woody",luxury,12+ hours,moderate,male,daytime
Givenchy Spicy 36,Prada,135.24,amber,luxury,4 hours,moderate,unisex,casual
Hugo Boss Citrus 43,Tom Ford,186.57,"spicy, amber",luxury,6 hours,light,unisex,formal
Chanel Amber 18,Gucci,260.24,"gourmand, leather",basic,4 hours,moderate,male,evening
Cartier Aquatic 49,Givenchy,210.58,fresh,high-end,6 hours,light,female,casual
Burberry Fruity 20,Cartier,259.21,"gourmand, aquatic",basic,4 hours,light,unisex,casual
Calvin Klein Gourmand 6,Jo Malone,140.95,"citrus, amber, leather",high-end,6 hours,moderate,male,evening
Jo Malone Amber 39,Tom Ford,173.37,"gourmand, oriental, woody",niche,6 hours,light,female,evening
Burberry Floral 31,Cartier,275.73,spicy,luxury,10 hours,strong,male,formal
Hugo Boss Woody 30,Givenchy,215.75,"citrus, aquatic, oriental",high-end,10 hours,strong,female,casual
Bvlgari Amber 44,Chanel,266.96,"leather, amber",luxury,10 hours,light,unisex,formal
Creed Leather 32,Dolce & Gabbana,222.71,"citrus, aquatic, fruity",basic,10 hours,moderate,female,evening
Chanel Citrus 10,Bvlgari,225.57,citrus,niche,4 hours,moderate,male,casual
Tom Ford Spicy 27,Burberry,285.64,"leather, spicy",luxury,4 hours,moderate,male,evening
Cartier Citrus 3,Dior,57.84,spicy,high-end,6 hours,light,unisex,casual
Calvin Klein Fruity 18,Bvlgari,87.19,"amber, spicy, fresh",basic,6 hours,moderate,female,daytime
Cartier Gourmand 17,Tom Ford,298.09,"aquatic, gourmand, floral",basic,12+ hours,moderate,male,special
Lancôme Fruity 6,Hermes,95.29,"gourmand, floral, amber",niche,6 hours,strong,unisex,casual
Versace Floral 10,Lancôme,280.24,"fruity, floral, woody",high-end,4 hours,strong,unisex,special
Chanel Citrus 46,Cartier,153.87,"leather, fresh",high-end,6 hours,light,male,daytime
Dior Amber 45,Prada,58.28,"floral, fruity",niche,8 hours,light,female,formal
Dior Fruity 28,Versace,277.09,floral,niche,12+ hours,light,female,special
Hugo Boss Spicy 35,Bvlgari,53.19,citrus,luxury,4 hours,light,unisex,evening
Hugo Boss Woody 25,Givenchy,122.41,"oriental, fruity, citrus",basic,8 hours,moderate,female,special
Yves Saint Laurent Leather 13,Burberry,292.92,"woody, fresh",high-end,6 hours,light,male,evening
Cartier Fruity 17,Prada,86.5,"citrus, floral, amber",basic,12+ hours,strong,female,special
Givenchy Fresh 45,Versace,240.82,"gourmand, fresh",luxury,10 hours,light,male,daytime
Givenchy Amber 1,Tom Ford,207.17,citrus,niche,8 hours,moderate,unisex,evening
Creed Floral 39,Givenchy,62.23,"leather, oriental",basic,4 hours,moderate,female,evening
Lancôme Spicy 9,Lancôme,146.63,"fruity, citrus, floral",basic,10 hours,strong,unisex,formal
Bvlgari Woody 15,Dior,63.58,fresh,luxury,8 hours,light,unisex,evening
Dolce & Gabbana Spicy 43,Jo Malone,215.06,"spicy, amber",basic,12+ hours,moderate,female,formal
Calvin Klein Oriental 24,Hugo Boss,144.07,"leather, fruity, floral",basic,6 hours,light,unisex,daytime
Montblanc Floral 42,Montblanc,182.24,"fruity, floral, citrus",niche,10 hours,strong,unisex,evening
Tom Ford Floral 27,Hugo Boss,211.26,fruity,high-end,6 hours,strong,female,daytime
Lancôme Spicy 6,Calvin Klein,154.92,"leather, gourmand",high-end,10 hours,moderate,unisex,formal
Prada Amber 9,Burberry,104.35,"aquatic, leather",luxury,10 hours,light,female,evening
Prada Woody 5,Chanel,225.03,"citrus, spicy",high-end,12+ hours,strong,unisex,special
Lancôme Oriental 25,Dolce & Gabbana,258.2,"amber, aquatic",high-end,6 hours,strong,unisex,evening
Calvin Klein Gourmand 21,Hugo Boss,68.02,"leather, fresh, floral",high-end,8 hours,light,male,special
Jo Malone Amber 41,Gucci,230.63,"fresh, spicy, aquatic",high-end,6 hours,light,female,formal
Hugo Boss Fruity 12,Prada,185.62,"oriental, leather",basic,6 hours,light,male,evening
Jo Malone Aquatic 20,Armani,213.17,"oriental, aquatic",luxury,12+ hours,strong,unisex,evening
Calvin Klein Spicy 2,Dior,134.34,"fresh, amber",luxury,10 hours,moderate,male,evening
Prada Amber 23,Dolce & Gabbana,225.7,"gourmand, woody",high-end,12+ hours,strong,male,evening
Lancôme Spicy 42,Dolce & Gabbana,118.25,"floral, gourmand, woody",luxury,8 hours,moderate,female,special
Lancôme Woody 17,Givenchy,138.97,"gourmand, spicy, floral",basic,4 hours,strong,male,casual
Armani Fresh 48,Hugo Boss,217.55,"woody, leather",niche,6 hours,light,male,evening
Yves Saint Laurent Woody 22,Burberry,214.68,floral,luxury,12+ hours,strong,female,casual
Prada Spicy 43,Cartier,236.86,"oriental, amber, spicy",basic,4 hours,strong,male,casual
Versace Fruity 19,Armani,69.73,"floral, woody, oriental",basic,12+ hours,strong,female,evening
Lancôme Gourmand 46,Burberry,259.27,"citrus, spicy, amber",basic,6 hours,strong,female,casual
Burberry Spicy 5,Cartier,206.37,"aquatic, fresh, fruity",luxury,6 hours,moderate,male,special
Dolce & Gabbana Aquatic 16,Dolce & Gabbana,145.55,woody,luxury,8 hours,light,female,formal
Hugo Boss Spicy 33,Yves Saint Laurent,120.24,floral,basic,8 hours,moderate,unisex,formal
Cartier Floral 12,Hermes,261.2,"floral, citrus, gourmand",niche,4 hours,strong,female,daytime
Gucci Gourmand 41,Montblanc,252.5,"citrus, spicy",high-end,4 hours,moderate,unisex,daytime
Givenchy Citrus 17,Burberry,107.66,"aquatic, gourmand, fresh",high-end,8 hours,strong,female,formal
Burberry Citrus 22,Jo Malone,284.03,"fruity, fresh, oriental",high-end,12+ hours,moderate,female,special
Versace Fruity 32,Chanel,270.45,amber,luxury,10 hours,strong,unisex,evening
Prada Oriental 25,Jo Malone,157.43,aquatic,luxury,12+ hours,light,female,casual
Versace Spicy 39,Hugo Boss,77.7,"floral, oriental",basic,6 hours,light,unisex,daytime
Versace Leather 39,Tom Ford,177.89,"aquatic, spicy",high-end,10 hours,strong,female,formal
Prada Citrus 36,Calvin Klein,287.7,"fruity, woody, citrus",niche,6 hours,strong,unisex,formal
Gucci Aquatic 12,Creed,217.38,"leather, amber, woody",basic,10 hours,light,unisex,special
Prada Amber 44,Burberry,102.15,"woody, aquatic, fruity",niche,4 hours,strong,male,daytime
Bvlgari Fruity 17,Tom Ford,216.05,"citrus, gourmand",luxury,8 hours,moderate,male,casual
Tom Ford Spicy 21,Bvlgari,177.62,"leather, amber, fruity",luxury,10 hours,strong,unisex,evening
Montblanc Floral 29,Calvin Klein,83.97,"amber, leather, citrus",high-end,8 hours,moderate,male,formal
Chanel Oriental 14,Gucci,86.49,spicy,high-end,12+ hours,strong,male,formal
Cartier Spicy 44,Lancôme,122.13,"citrus, leather, fruity",basic,6 hours,light,unisex,daytime
Armani Woody 22,Dolce & Gabbana,191.55,"gourmand, woody, oriental",basic,4 hours,strong,female,casual
Tom Ford Citrus 3,Dolce & Gabbana,145.86,"woody, fruity, aquatic",basic,4 hours,strong,female,casual
Jo Malone Fresh 1,Montblanc,182.81,leather,high-end,12+ hours,moderate,unisex,evening
Versace Citrus 5,Prada,220.31,"gourmand, leather",luxury,4 hours,strong,unisex,special
Yves Saint Laurent Spicy 22,Creed,291.03,floral,basic,6 hours,light,unisex,formal
Chanel Fresh 16,Burberry,135.17,"spicy, citrus, amber",basic,12+ hours,moderate,female,special
Armani Citrus 1,Montblanc,136.46,woody,niche,10 hours,strong,female,daytime
Lancôme Woody 4,Montblanc,188.78,"floral, fresh, oriental",niche,6 hours,strong,unisex,casual
Givenchy Fresh 46,Burberry,235.4,"floral, oriental",niche,8 hours,moderate,male,casual
Dolce & Gabbana Fresh 9,Gucci,147.67,"aquatic, oriental",niche,8 hours,strong,unisex,formal
Armani Citrus 6,Prada,219.14,fresh,high-end,4 hours,moderate,unisex,daytime
Burberry Fruity 46,Hermes,72.77,"citrus, amber",basic,4 hours,moderate,male,special
Lancôme Floral 6,Lancôme,249.9,"fruity, amber",niche,6 hours,moderate,female,casual
Cartier Oriental 11,Burberry,233.2,"floral, spicy, oriental",niche,8 hours,strong,female,casual
Hermes Fruity 37,Burberry,50.68,"oriental, aquatic, fresh",high-end,10 hours,moderate,male,formal
Tom Ford Amber 12,Hugo Boss,173.72,"fruity, leather, aquatic",luxury,4 hours,moderate,male,casual
Gucci Floral 34,Dolce & Gabbana,189.06,floral,basic,6 hours,strong,male,daytime
Creed Citrus 14,Versace,71.43,leather,basic,10 hours,moderate,unisex,daytime
Versace Fruity 4,Versace,173.62,spicy,basic,10 hours,moderate,male,formal
Versace Leather 23,Versace,126.62,"floral, oriental, spicy",high-end,12+ hours,moderate,female,evening
Hermes Amber 9,Hermes,82.55,"fruity, spicy",basic,10 hours,moderate,male,daytime
Lancôme Spicy 5,Armani,173.04,"aquatic, amber",luxury,10 hours,light,male,evening
Gucci Spicy 50,Hermes,59.54,"amber, leather",basic,12+ hours,light,unisex,formal
Jo Malone Leather 50,Givenchy,177.16,spicy,high-end,6 hours,moderate,male,casual
