name,brand,price,longevity,sillage,gender_preference,occasion
Byredo Gypsy Water,Creed,79.15,10 hours,Strong,Female,Special Occasion
Burberry Brit,Gucci,270.73,9 hours,Strong,Unisex,Summer
Versace Eros,Lancome,279.78,9 hours,Soft,Male,Party
Lancome La Vie Est Belle,Tom Ford,135.61,9 hours,Strong,Unisex,Casual
Byredo Gypsy Water,Maison Francis Kurkdjian,389.37,8 hours,Moderate,Female,Romantic
Tom Ford Noir,Prada,251.49,7 hours,Soft,Unisex,Special Occasion
Burberry Brit,Tom Ford,387.64,9 hours,Strong,Male,Casual
Lancome La Vie Est Belle,Byredo,155.96,8 hours,Moderate,Unisex,Formal
Tom Ford Noir,Creed,373.62,12 hours,Soft,Male,Luxury
Calvin Klein Eternity,Montblanc,195.95,10 hours,Moderate,Female,Casual
Versace Eros,Maison Francis Kurkdjian,265.65,9 hours,Strong,Male,Special Occasion
Byredo Gypsy Water,Paco Rabanne,239.26,7 hours,Moderate,Female,Casual
Montblanc Legend,Yves Saint Laurent,337.38,7 hours,Moderate,Male,Luxury
Dolce & Gabbana Light Blue,Byredo,332.71,8 hours,Soft,Female,Work
Dolce & Gabbana Light Blue,Armani,252.41,6 hours,Moderate,Male,Romantic
Dolce & Gabbana Light Blue,Marc Jacobs,261.96,6 hours,Strong,Male,Special Occasion
Versace Eros,Montblanc,247.63,10 hours,Soft,Female,Romantic
Dolce & Gabbana Light Blue,Jo Malone,329.82,7 hours,Soft,Unisex,Daily
Hugo Boss Bottled,Paco Rabanne,390.36,9 hours,Strong,Male,Special Occasion
Calvin Klein Eternity,Tom Ford,237.3,10 hours,Moderate,Female,Daily
Gucci Bloom,Creed,281.62,7 hours,Strong,Female,Summer
Burberry Brit,Gucci,356.68,6 hours,Soft,Unisex,Work
Burberry Brit,Tom Ford,334.77,10 hours,Soft,Female,Daily
Marc Jacobs Daisy,Lancome,149.78,12 hours,Moderate,Female,Summer
YSL Libre,Jo Malone,385.54,10 hours,Moderate,Unisex,Party
Creed Aventus,Dolce & Gabbana,61.74,10 hours,Moderate,Male,Summer
Montblanc Legend,Armani,85.74,7 hours,Soft,Male,Daily
Calvin Klein Eternity,Hugo Boss,304.84,9 hours,Strong,Unisex,Daily
Dolce & Gabbana Light Blue,Burberry,262.67,12 hours,Strong,Male,Special Occasion
Versace Eros,Lancome,87.78,9 hours,Moderate,Female,Romantic
Armani Acqua di Gio,Armani,245.76,6 hours,Strong,Male,Romantic
Hugo Boss Bottled,Burberry,352.9,9 hours,Strong,Female,Party
Maison Francis Kurkdjian Baccarat Rouge 540,Jo Malone,275.19,8 hours,Moderate,Female,Formal
Burberry Brit,Paco Rabanne,290.64,7 hours,Strong,Unisex,Casual
Byredo Gypsy Water,Hugo Boss,81.56,7 hours,Strong,Unisex,Special Occasion
Chanel No. 5,Calvin Klein,337.55,8 hours,Soft,Female,Formal
Byredo Gypsy Water,Tom Ford,88.4,12 hours,Moderate,Female,Evening
Montblanc Legend,Yves Saint Laurent,295.73,7 hours,Soft,Unisex,Formal
Chanel No. 5,Calvin Klein,395.84,9 hours,Strong,Male,Work
Dolce & Gabbana Light Blue,Creed,71.57,12 hours,Moderate,Female,Daily
Creed Aventus,Byredo,150.84,9 hours,Moderate,Female,Formal
Paco Rabanne 1 Million,Armani,313.25,8 hours,Moderate,Unisex,Summer
Byredo Gypsy Water,Calvin Klein,286.18,8 hours,Soft,Unisex,Evening
Marc Jacobs Daisy,Tom Ford,105.42,8 hours,Moderate,Unisex,Daily
Gucci Bloom,Versace,323.47,7 hours,Soft,Male,Romantic
YSL Libre,Maison Francis Kurkdjian,283.12,10 hours,Soft,Unisex,Formal
Tom Ford Noir,Armani,98.38,12 hours,Strong,Male,Romantic
Hugo Boss Bottled,Montblanc,379.54,8 hours,Moderate,Unisex,Luxury
Chanel No. 5,Calvin Klein,368.11,10 hours,Strong,Unisex,Casual
Jo Malone Peony & Blush Suede,Dior,139.11,10 hours,Soft,Male,Special Occasion
Creed Aventus,Creed,139.51,7 hours,Moderate,Female,Casual
YSL Libre,Armani,240.65,7 hours,Moderate,Unisex,Daily
Creed Aventus,Tom Ford,346.95,10 hours,Strong,Unisex,Formal
Maison Francis Kurkdjian Baccarat Rouge 540,Marc Jacobs,382.43,6 hours,Soft,Female,Evening
Burberry Brit,Tom Ford,198.24,8 hours,Soft,Unisex,Romantic
Gucci Bloom,Byredo,68.83,6 hours,Soft,Male,Daily
Dolce & Gabbana Light Blue,Dior,209.84,7 hours,Strong,Female,Luxury
Maison Francis Kurkdjian Baccarat Rouge 540,Byredo,153.63,10 hours,Strong,Female,Luxury
Lancome La Vie Est Belle,Gucci,212.11,7 hours,Soft,Male,Daily
Calvin Klein Eternity,Hugo Boss,242.07,12 hours,Soft,Female,Romantic
Dolce & Gabbana Light Blue,Maison Francis Kurkdjian,300.94,9 hours,Moderate,Unisex,Special Occasion
Burberry Brit,Chanel,167.5,9 hours,Soft,Male,Party
Paco Rabanne 1 Million,Marc Jacobs,373.12,12 hours,Strong,Unisex,Party
Tom Ford Noir,Calvin Klein,78.71,6 hours,Moderate,Male,Party
Lancome La Vie Est Belle,Montblanc,388.83,7 hours,Moderate,Female,Daily
Burberry Brit,Tom Ford,111.45,12 hours,Moderate,Unisex,Summer
Dior Sauvage,Yves Saint Laurent,336.4,9 hours,Strong,Unisex,Daily
Burberry Brit,Byredo,323.76,7 hours,Soft,Unisex,Evening
Marc Jacobs Daisy,Calvin Klein,56.79,7 hours,Soft,Unisex,Evening
Byredo Gypsy Water,Creed,388.85,10 hours,Moderate,Unisex,Work
Montblanc Legend,Burberry,202.54,8 hours,Strong,Female,Evening
Byredo Gypsy Water,Paco Rabanne,375.33,6 hours,Moderate,Male,Casual
Byredo Gypsy Water,Prada,178.46,12 hours,Soft,Unisex,Romantic
Marc Jacobs Daisy,Armani,345.76,7 hours,Strong,Female,Formal
Armani Acqua di Gio,Tom Ford,106.16,7 hours,Strong,Male,Daily
Maison Francis Kurkdjian Baccarat Rouge 540,Lancome,257.22,12 hours,Soft,Unisex,Summer
Armani Acqua di Gio,Prada,373.76,8 hours,Soft,Male,Daily
Prada Luna Rossa,Maison Francis Kurkdjian,182.24,7 hours,Soft,Female,Special Occasion
Gucci Bloom,Maison Francis Kurkdjian,383.54,7 hours,Strong,Unisex,Casual
Maison Francis Kurkdjian Baccarat Rouge 540,Gucci,221.43,7 hours,Strong,Male,Party
Lancome La Vie Est Belle,Byredo,253.22,7 hours,Moderate,Male,Romantic
Armani Acqua di Gio,Yves Saint Laurent,275.18,8 hours,Soft,Male,Luxury
Burberry Brit,Byredo,124.83,10 hours,Moderate,Male,Special Occasion
Dior Sauvage,Dior,126.2,6 hours,Moderate,Female,Party
Calvin Klein Eternity,Byredo,53.16,12 hours,Moderate,Female,Luxury
Creed Aventus,Chanel,247.69,9 hours,Strong,Male,Work
Byredo Gypsy Water,Hugo Boss,277.31,10 hours,Moderate,Unisex,Work
Maison Francis Kurkdjian Baccarat Rouge 540,Montblanc,308.13,10 hours,Strong,Male,Evening
Prada Luna Rossa,Yves Saint Laurent,330.39,7 hours,Strong,Male,Romantic
YSL Libre,Versace,371.08,12 hours,Moderate,Male,Party
Burberry Brit,Burberry,209.9,7 hours,Strong,Female,Special Occasion
Paco Rabanne 1 Million,Montblanc,81.2,7 hours,Strong,Female,Daily
Lancome La Vie Est Belle,Versace,53.34,10 hours,Moderate,Unisex,Luxury
Hugo Boss Bottled,Hugo Boss,377.2,8 hours,Strong,Unisex,Formal
Tom Ford Noir,Lancome,379.63,8 hours,Moderate,Male,Summer
Burberry Brit,Dior,291.83,6 hours,Strong,Male,Special Occasion
Montblanc Legend,Yves Saint Laurent,341.46,9 hours,Soft,Unisex,Evening
Jo Malone Peony & Blush Suede,Paco Rabanne,301.17,10 hours,Soft,Unisex,Formal
Calvin Klein Eternity,Calvin Klein,164.38,10 hours,Strong,Female,Romantic
Versace Eros,Calvin Klein,189.04,12 hours,Moderate,Male,Evening
Jo Malone Peony & Blush Suede,Hugo Boss,93.24,12 hours,Moderate,Female,Formal
Lancome La Vie Est Belle,Dior,274.94,12 hours,Soft,Female,Formal
Marc Jacobs Daisy,Creed,393.96,12 hours,Moderate,Male,Special Occasion
Chanel No. 5,Lancome,311.34,8 hours,Soft,Unisex,Party
Tom Ford Noir,Burberry,175.68,6 hours,Soft,Male,Luxury
Byredo Gypsy Water,Calvin Klein,301.09,7 hours,Soft,Female,Luxury
Marc Jacobs Daisy,Burberry,84.7,10 hours,Moderate,Male,Summer
Marc Jacobs Daisy,Gucci,349.06,6 hours,Soft,Female,Special Occasion
Byredo Gypsy Water,Calvin Klein,118.03,10 hours,Strong,Male,Luxury
Tom Ford Noir,Maison Francis Kurkdjian,380.62,6 hours,Strong,Unisex,Formal
Chanel No. 5,Dior,77.2,8 hours,Strong,Unisex,Romantic
Byredo Gypsy Water,Armani,83.3,7 hours,Moderate,Male,Work
Hugo Boss Bottled,Burberry,188.76,8 hours,Strong,Female,Romantic
Chanel No. 5,Hugo Boss,138.91,9 hours,Soft,Female,Formal
Tom Ford Noir,Maison Francis Kurkdjian,385.06,9 hours,Strong,Unisex,Work
Creed Aventus,Dolce & Gabbana,123.81,12 hours,Soft,Male,Special Occasion
Burberry Brit,Gucci,207.27,7 hours,Moderate,Female,Special Occasion
Prada Luna Rossa,Byredo,213.7,10 hours,Soft,Male,Luxury
Dior Sauvage,Lancome,338.73,12 hours,Strong,Unisex,Work
Calvin Klein Eternity,Dolce & Gabbana,168.07,12 hours,Strong,Unisex,Special Occasion
Paco Rabanne 1 Million,Yves Saint Laurent,360.63,6 hours,Moderate,Female,Special Occasion
Maison Francis Kurkdjian Baccarat Rouge 540,Burberry,294.76,9 hours,Soft,Unisex,Party
Lancome La Vie Est Belle,Gucci,103.01,10 hours,Strong,Unisex,Special Occasion
Montblanc Legend,Gucci,130.13,8 hours,Strong,Female,Formal
Dior Sauvage,Burberry,394.12,9 hours,Moderate,Male,Romantic
Burberry Brit,Montblanc,147.07,12 hours,Moderate,Female,Daily
Montblanc Legend,Lancome,83.82,6 hours,Moderate,Unisex,Romantic
Byredo Gypsy Water,Lancome,380.49,12 hours,Soft,Male,Party
Paco Rabanne 1 Million,Montblanc,63.77,6 hours,Soft,Female,Summer
Marc Jacobs Daisy,Montblanc,386.6,7 hours,Strong,Unisex,Evening
Maison Francis Kurkdjian Baccarat Rouge 540,Prada,133.37,9 hours,Soft,Unisex,Summer
Lancome La Vie Est Belle,Calvin Klein,246.64,8 hours,Soft,Female,Casual
Paco Rabanne 1 Million,Burberry,314.27,6 hours,Moderate,Female,Summer
Hugo Boss Bottled,Lancome,332.53,12 hours,Moderate,Female,Casual
Byredo Gypsy Water,Gucci,380.19,7 hours,Strong,Male,Luxury
Lancome La Vie Est Belle,Gucci,323.01,12 hours,Soft,Female,Daily
Byredo Gypsy Water,Paco Rabanne,146.77,12 hours,Moderate,Female,Work
Creed Aventus,Gucci,316.77,8 hours,Soft,Unisex,Evening
Paco Rabanne 1 Million,Dior,292.24,12 hours,Strong,Unisex,Romantic
Tom Ford Noir,Tom Ford,102.57,9 hours,Strong,Unisex,Summer
Calvin Klein Eternity,Dior,141.2,7 hours,Soft,Unisex,Special Occasion
Calvin Klein Eternity,Marc Jacobs,140.39,8 hours,Soft,Unisex,Daily
Creed Aventus,Chanel,279.43,8 hours,Strong,Female,Party
Montblanc Legend,Hugo Boss,374.23,6 hours,Strong,Female,Summer
Gucci Bloom,Dolce & Gabbana,98.84,8 hours,Moderate,Unisex,Formal
Hugo Boss Bottled,Armani,71.76,6 hours,Moderate,Male,Romantic
Gucci Bloom,Montblanc,393.58,10 hours,Moderate,Unisex,Daily
Marc Jacobs Daisy,Marc Jacobs,338.14,9 hours,Moderate,Female,Work
Maison Francis Kurkdjian Baccarat Rouge 540,Montblanc,196.73,9 hours,Soft,Unisex,Summer
Prada Luna Rossa,Yves Saint Laurent,351.14,12 hours,Moderate,Unisex,Evening
Calvin Klein Eternity,Lancome,74.54,10 hours,Soft,Female,Daily
Lancome La Vie Est Belle,Marc Jacobs,234.63,9 hours,Strong,Female,Summer
Chanel No. 5,Chanel,87.27,12 hours,Moderate,Unisex,Formal
Montblanc Legend,Burberry,390.93,8 hours,Moderate,Female,Romantic
Prada Luna Rossa,Armani,365.57,7 hours,Moderate,Male,Romantic
Gucci Bloom,Yves Saint Laurent,76.41,9 hours,Strong,Male,Party
Versace Eros,Gucci,73.82,10 hours,Strong,Female,Daily
Versace Eros,Jo Malone,107.73,8 hours,Soft,Male,Romantic
Montblanc Legend,Paco Rabanne,342.43,9 hours,Moderate,Unisex,Summer
Tom Ford Noir,Tom Ford,299.92,9 hours,Soft,Female,Work
Versace Eros,Hugo Boss,199.75,10 hours,Moderate,Unisex,Casual
Montblanc Legend,Byredo,212.68,7 hours,Soft,Unisex,Luxury
Maison Francis Kurkdjian Baccarat Rouge 540,Hugo Boss,120.31,8 hours,Strong,Female,Work
Armani Acqua di Gio,Dolce & Gabbana,381.6,8 hours,Strong,Female,Casual
Chanel No. 5,Armani,132.18,6 hours,Moderate,Unisex,Work
Tom Ford Noir,Yves Saint Laurent,364.73,8 hours,Soft,Female,Casual
Maison Francis Kurkdjian Baccarat Rouge 540,Armani,250.65,8 hours,Strong,Female,Party
Calvin Klein Eternity,Armani,60.24,10 hours,Moderate,Female,Special Occasion
Marc Jacobs Daisy,Burberry,165.87,10 hours,Moderate,Unisex,Daily
Dolce & Gabbana Light Blue,Paco Rabanne,389.75,9 hours,Moderate,Male,Casual
Dolce & Gabbana Light Blue,Yves Saint Laurent,114.68,12 hours,Soft,Male,Casual
Burberry Brit,Armani,276.32,12 hours,Strong,Female,Work
Armani Acqua di Gio,Burberry,178.39,12 hours,Soft,Female,Evening
Hugo Boss Bottled,Versace,336.27,6 hours,Strong,Unisex,Romantic
Chanel No. 5,Armani,244.1,8 hours,Strong,Unisex,Romantic
Gucci Bloom,Maison Francis Kurkdjian,154.23,10 hours,Moderate,Female,Work
Byredo Gypsy Water,Maison Francis Kurkdjian,274.54,7 hours,Strong,Female,Evening
Marc Jacobs Daisy,Tom Ford,353.46,7 hours,Strong,Unisex,Romantic
Dior Sauvage,Paco Rabanne,354.71,10 hours,Strong,Male,Special Occasion
Gucci Bloom,Versace,296.7,7 hours,Moderate,Female,Summer
Armani Acqua di Gio,Versace,174.68,9 hours,Moderate,Male,Special Occasion
Creed Aventus,Paco Rabanne,158.99,10 hours,Strong,Female,Casual
Jo Malone Peony & Blush Suede,Dolce & Gabbana,312.46,8 hours,Strong,Unisex,Casual
Marc Jacobs Daisy,Byredo,351.31,6 hours,Moderate,Unisex,Daily
Armani Acqua di Gio,Hugo Boss,137.69,8 hours,Soft,Unisex,Evening
Tom Ford Noir,Hugo Boss,321.02,9 hours,Moderate,Male,Work
Versace Eros,Dolce & Gabbana,329.76,12 hours,Strong,Unisex,Party
Burberry Brit,Armani,79.86,9 hours,Soft,Female,Summer
Paco Rabanne 1 Million,Chanel,213.84,12 hours,Strong,Female,Summer
Prada Luna Rossa,Dior,238.13,8 hours,Moderate,Unisex,Romantic
Hugo Boss Bottled,Gucci,270.97,10 hours,Strong,Female,Formal
Maison Francis Kurkdjian Baccarat Rouge 540,Burberry,387.26,7 hours,Moderate,Female,Daily
Lancome La Vie Est Belle,Hugo Boss,201.38,6 hours,Strong,Female,Formal
Hugo Boss Bottled,Dior,313.35,8 hours,Strong,Unisex,Work
Jo Malone Peony & Blush Suede,Gucci,205.27,7 hours,Soft,Male,Daily
Prada Luna Rossa,Maison Francis Kurkdjian,152.07,12 hours,Strong,Unisex,Evening
Versace Eros,Dolce & Gabbana,355.9,7 hours,Strong,Unisex,Work
Maison Francis Kurkdjian Baccarat Rouge 540,Marc Jacobs,167.14,7 hours,Soft,Unisex,Luxury
Maison Francis Kurkdjian Baccarat Rouge 540,Dolce & Gabbana,358.59,6 hours,Moderate,Unisex,Casual
Paco Rabanne 1 Million,Burberry,105.71,6 hours,Strong,Unisex,Work
Dolce & Gabbana Light Blue,Prada,330.69,12 hours,Strong,Unisex,Daily
YSL Libre,Lancome,146.08,6 hours,Strong,Male,Work
Burberry Brit,Montblanc,204.5,6 hours,Moderate,Unisex,Evening
Lancome La Vie Est Belle,Jo Malone,59.19,9 hours,Soft,Unisex,Casual
Gucci Bloom,Maison Francis Kurkdjian,151.34,10 hours,Moderate,Female,Romantic
Byredo Gypsy Water,Creed,170.81,10 hours,Strong,Male,Summer
Burberry Brit,Yves Saint Laurent,64.94,7 hours,Strong,Unisex,Summer
Paco Rabanne 1 Million,Tom Ford,341.44,12 hours,Soft,Unisex,Special Occasion
Paco Rabanne 1 Million,Burberry,264.59,12 hours,Strong,Female,Casual
Marc Jacobs Daisy,Dior,278.15,10 hours,Soft,Male,Special Occasion
Maison Francis Kurkdjian Baccarat Rouge 540,Dolce & Gabbana,322.11,7 hours,Moderate,Unisex,Luxury
Prada Luna Rossa,Creed,104.21,10 hours,Soft,Unisex,Evening
Burberry Brit,Yves Saint Laurent,360.98,8 hours,Soft,Female,Casual
Jo Malone Peony & Blush Suede,Dior,236.19,10 hours,Strong,Male,Special Occasion
Calvin Klein Eternity,Marc Jacobs,280.37,7 hours,Strong,Male,Daily
Versace Eros,Marc Jacobs,353.67,12 hours,Soft,Unisex,Romantic
Byredo Gypsy Water,Montblanc,82.81,6 hours,Moderate,Male,Luxury
Maison Francis Kurkdjian Baccarat Rouge 540,Montblanc,313.07,10 hours,Soft,Female,Summer
Montblanc Legend,Armani,184.27,9 hours,Moderate,Unisex,Casual
Byredo Gypsy Water,Maison Francis Kurkdjian,292.39,6 hours,Soft,Male,Special Occasion
Tom Ford Noir,Prada,308.3,10 hours,Strong,Female,Romantic
Burberry Brit,Dior,261.48,7 hours,Soft,Unisex,Formal
Lancome La Vie Est Belle,Paco Rabanne,344.02,9 hours,Moderate,Unisex,Party
Tom Ford Noir,Dior,150.65,9 hours,Soft,Male,Special Occasion
Maison Francis Kurkdjian Baccarat Rouge 540,Maison Francis Kurkdjian,162.53,10 hours,Strong,Female,Work
Hugo Boss Bottled,Dolce & Gabbana,118.94,9 hours,Strong,Unisex,Party
Dolce & Gabbana Light Blue,Prada,191.38,12 hours,Soft,Unisex,Formal
Jo Malone Peony & Blush Suede,Marc Jacobs,227.4,10 hours,Moderate,Male,Evening
Dolce & Gabbana Light Blue,Lancome,179.17,10 hours,Moderate,Unisex,Luxury
Paco Rabanne 1 Million,Chanel,236.42,8 hours,Strong,Female,Daily
Dior Sauvage,Chanel,183.45,10 hours,Soft,Unisex,Special Occasion
Hugo Boss Bottled,Byredo,315.84,6 hours,Moderate,Unisex,Luxury
Dior Sauvage,Chanel,94.8,9 hours,Strong,Male,Summer
Calvin Klein Eternity,Armani,59.97,8 hours,Strong,Unisex,Casual
Burberry Brit,Chanel,116.5,12 hours,Strong,Unisex,Summer
Jo Malone Peony & Blush Suede,Lancome,67.44,10 hours,Strong,Male,Formal
Paco Rabanne 1 Million,Marc Jacobs,382.63,12 hours,Moderate,Unisex,Casual
Versace Eros,Dolce & Gabbana,238.29,8 hours,Strong,Female,Summer
Tom Ford Noir,Byredo,327.65,7 hours,Moderate,Female,Evening
Hugo Boss Bottled,Dior,254.94,10 hours,Strong,Male,Special Occasion
Burberry Brit,Tom Ford,52.32,7 hours,Moderate,Unisex,Romantic
Lancome La Vie Est Belle,Tom Ford,390.21,10 hours,Moderate,Female,Work
Montblanc Legend,Montblanc,100.96,12 hours,Moderate,Unisex,Luxury
Calvin Klein Eternity,Creed,212.31,8 hours,Soft,Unisex,Casual
Dior Sauvage,Burberry,89.01,10 hours,Soft,Male,Formal
Jo Malone Peony & Blush Suede,Calvin Klein,355.29,12 hours,Strong,Unisex,Luxury
Calvin Klein Eternity,Lancome,171.01,12 hours,Soft,Unisex,Evening
Chanel No. 5,Versace,224.14,10 hours,Strong,Female,Evening
Dior Sauvage,Lancome,78.57,8 hours,Soft,Unisex,Luxury
Prada Luna Rossa,Versace,168.35,7 hours,Moderate,Male,Daily
Jo Malone Peony & Blush Suede,Maison Francis Kurkdjian,190.29,10 hours,Strong,Unisex,Party
Dior Sauvage,Byredo,299.49,6 hours,Moderate,Male,Party
Jo Malone Peony & Blush Suede,Armani,235.83,7 hours,Strong,Unisex,Party
Paco Rabanne 1 Million,Dior,80.91,6 hours,Moderate,Female,Casual
Gucci Bloom,Lancome,323.85,8 hours,Moderate,Unisex,Daily
Calvin Klein Eternity,Lancome,297.71,10 hours,Moderate,Unisex,Formal
Marc Jacobs Daisy,Dior,165.44,10 hours,Moderate,Female,Daily
Burberry Brit,Maison Francis Kurkdjian,138.95,12 hours,Soft,Unisex,Formal
Marc Jacobs Daisy,Paco Rabanne,236.83,10 hours,Moderate,Female,Casual
Hugo Boss Bottled,Montblanc,298.1,10 hours,Strong,Female,Formal
Montblanc Legend,Dior,195.11,9 hours,Soft,Female,Luxury
Calvin Klein Eternity,Jo Malone,352.81,10 hours,Soft,Unisex,Evening
Montblanc Legend,Versace,310.33,10 hours,Soft,Female,Daily
Burberry Brit,Creed,146.58,8 hours,Moderate,Female,Party
Prada Luna Rossa,Yves Saint Laurent,293.97,7 hours,Soft,Unisex,Party
Dolce & Gabbana Light Blue,Montblanc,246.35,9 hours,Soft,Male,Special Occasion
Hugo Boss Bottled,Prada,57.36,8 hours,Moderate,Unisex,Romantic
Tom Ford Noir,Marc Jacobs,136.42,8 hours,Strong,Male,Romantic
Dior Sauvage,Armani,89.81,12 hours,Soft,Unisex,Daily
Calvin Klein Eternity,Armani,162.9,12 hours,Moderate,Unisex,Luxury
Maison Francis Kurkdjian Baccarat Rouge 540,Montblanc,218.05,8 hours,Moderate,Unisex,Luxury
Dior Sauvage,Yves Saint Laurent,282.86,6 hours,Soft,Male,Formal
YSL Libre,Calvin Klein,151.64,9 hours,Strong,Unisex,Romantic
Gucci Bloom,Versace,201.23,10 hours,Strong,Unisex,Daily
Dolce & Gabbana Light Blue,Dior,329.98,9 hours,Soft,Unisex,Romantic
Tom Ford Noir,Paco Rabanne,182.93,8 hours,Moderate,Male,Romantic
Byredo Gypsy Water,Armani,258.41,10 hours,Soft,Female,Formal
Tom Ford Noir,Yves Saint Laurent,385.52,7 hours,Moderate,Male,Romantic
Versace Eros,Byredo,105.44,12 hours,Strong,Female,Party
Lancome La Vie Est Belle,Dior,222.7,6 hours,Moderate,Female,Summer
Versace Eros,Calvin Klein,91.37,6 hours,Soft,Unisex,Formal
Burberry Brit,Marc Jacobs,395.74,7 hours,Soft,Male,Casual
Burberry Brit,Dolce & Gabbana,382.5,12 hours,Strong,Unisex,Casual
Dolce & Gabbana Light Blue,Calvin Klein,384.13,10 hours,Moderate,Unisex,Evening
Dior Sauvage,Dolce & Gabbana,70.39,12 hours,Strong,Unisex,Summer
Creed Aventus,Prada,193.93,6 hours,Soft,Female,Casual
Tom Ford Noir,Paco Rabanne,64.28,12 hours,Strong,Male,Casual
Marc Jacobs Daisy,Versace,127.39,9 hours,Strong,Unisex,Casual
Dolce & Gabbana Light Blue,Dolce & Gabbana,189.03,9 hours,Moderate,Male,Formal
Burberry Brit,Byredo,322.68,7 hours,Soft,Male,Formal
Maison Francis Kurkdjian Baccarat Rouge 540,Chanel,363.54,7 hours,Soft,Female,Evening
Gucci Bloom,Chanel,189.19,6 hours,Moderate,Male,Summer
Paco Rabanne 1 Million,Versace,241.93,12 hours,Soft,Male,Romantic
Paco Rabanne 1 Million,Marc Jacobs,364.72,12 hours,Moderate,Male,Luxury
Jo Malone Peony & Blush Suede,Lancome,324.49,7 hours,Strong,Unisex,Luxury
Creed Aventus,Yves Saint Laurent,213.4,6 hours,Strong,Unisex,Casual
Prada Luna Rossa,Prada,257.26,7 hours,Strong,Male,Daily
Dior Sauvage,Chanel,293.01,10 hours,Strong,Male,Romantic
Calvin Klein Eternity,Gucci,189.09,8 hours,Soft,Female,Formal
Burberry Brit,Jo Malone,55.67,7 hours,Soft,Female,Work
Armani Acqua di Gio,Prada,357.79,7 hours,Moderate,Male,Special Occasion
Montblanc Legend,Maison Francis Kurkdjian,162.23,9 hours,Soft,Female,Party
Armani Acqua di Gio,Montblanc,297.53,8 hours,Soft,Male,Romantic
YSL Libre,Prada,214.95,6 hours,Strong,Female,Party
YSL Libre,Jo Malone,285.02,6 hours,Strong,Male,Evening
Montblanc Legend,Hugo Boss,396.29,7 hours,Soft,Male,Romantic
Marc Jacobs Daisy,Marc Jacobs,399.89,8 hours,Moderate,Unisex,Evening
Dior Sauvage,Dior,162.4,7 hours,Moderate,Unisex,Casual
Maison Francis Kurkdjian Baccarat Rouge 540,Creed,139.14,6 hours,Soft,Female,Evening
Dior Sauvage,Gucci,201.18,10 hours,Strong,Unisex,Daily
Versace Eros,Byredo,258.26,9 hours,Strong,Male,Luxury
Calvin Klein Eternity,Chanel,289.3,6 hours,Soft,Male,Casual
Gucci Bloom,Armani,312.72,10 hours,Soft,Male,Evening
Dior Sauvage,Jo Malone,231.67,9 hours,Strong,Unisex,Work
Dior Sauvage,Calvin Klein,140.77,10 hours,Moderate,Unisex,Daily
Marc Jacobs Daisy,Dolce & Gabbana,331.37,10 hours,Moderate,Male,Formal
Burberry Brit,Calvin Klein,162.03,7 hours,Strong,Female,Luxury
Jo Malone Peony & Blush Suede,Gucci,326.75,9 hours,Moderate,Female,Daily
Montblanc Legend,Yves Saint Laurent,283.92,8 hours,Strong,Unisex,Special Occasion
Versace Eros,Calvin Klein,238.21,12 hours,Moderate,Male,Formal
Calvin Klein Eternity,Burberry,71.32,9 hours,Moderate,Male,Special Occasion
Armani Acqua di Gio,Paco Rabanne,301.06,10 hours,Soft,Unisex,Work
Gucci Bloom,Maison Francis Kurkdjian,115.04,12 hours,Soft,Male,Casual
Calvin Klein Eternity,Byredo,152.37,6 hours,Strong,Unisex,Casual
Hugo Boss Bottled,Calvin Klein,134.69,7 hours,Moderate,Male,Daily
Dolce & Gabbana Light Blue,Calvin Klein,199.56,9 hours,Soft,Male,Party
Armani Acqua di Gio,Yves Saint Laurent,157.88,9 hours,Strong,Female,Casual
Dolce & Gabbana Light Blue,Calvin Klein,309.57,7 hours,Soft,Unisex,Daily
Armani Acqua di Gio,Montblanc,86.44,6 hours,Soft,Unisex,Work
Marc Jacobs Daisy,Marc Jacobs,197.64,9 hours,Soft,Female,Work
Lancome La Vie Est Belle,Burberry,191.44,10 hours,Soft,Female,Special Occasion
Hugo Boss Bottled,Lancome,223.1,6 hours,Soft,Female,Formal
Byredo Gypsy Water,Lancome,299.01,6 hours,Moderate,Female,Special Occasion
Armani Acqua di Gio,Hugo Boss,297.69,7 hours,Moderate,Male,Casual
Prada Luna Rossa,Tom Ford,101.77,12 hours,Soft,Unisex,Work
Dior Sauvage,Versace,75.65,10 hours,Strong,Male,Casual
Marc Jacobs Daisy,Chanel,260.75,10 hours,Moderate,Female,Luxury
Lancome La Vie Est Belle,Gucci,196.84,10 hours,Moderate,Male,Daily
Armani Acqua di Gio,Lancome,360.4,6 hours,Strong,Female,Evening
Lancome La Vie Est Belle,Prada,113.76,8 hours,Soft,Male,Formal
Marc Jacobs Daisy,Prada,369.99,8 hours,Moderate,Male,Party
YSL Libre,Dolce & Gabbana,112.04,9 hours,Soft,Male,Formal
Tom Ford Noir,Byredo,261.35,10 hours,Moderate,Unisex,Special Occasion
Byredo Gypsy Water,Tom Ford,381.2,6 hours,Moderate,Unisex,Work
Jo Malone Peony & Blush Suede,Prada,226.85,10 hours,Strong,Male,Luxury
Jo Malone Peony & Blush Suede,Hugo Boss,362.33,7 hours,Moderate,Female,Formal
Paco Rabanne 1 Million,Yves Saint Laurent,142.89,12 hours,Moderate,Unisex,Work
